Time,Capital
2025-08-01 09:00:00+00:00,980.0000000000001
2025-08-01 10:00:00+00:00,980.0000000000001
2025-08-01 11:00:00+00:00,980.0000000000001
2025-08-01 12:00:00+00:00,980.0000000000001
2025-08-01 13:00:00+00:00,980.0000000000001
2025-08-01 14:00:00+00:00,980.0000000000001
2025-08-01 15:00:00+00:00,980.0000000000001
2025-08-01 16:00:00+00:00,980.0000000000001
2025-08-01 17:00:00+00:00,980.0000000000001
2025-08-01 18:00:00+00:00,980.0000000000001
2025-08-01 19:00:00+00:00,980.0000000000001
2025-08-01 20:00:00+00:00,980.0000000000001
2025-08-01 21:00:00+00:00,980.0000000000001
2025-08-01 22:00:00+00:00,980.0000000000001
2025-08-01 23:00:00+00:00,980.0000000000001
2025-08-02 00:00:00+00:00,980.0000000000001
2025-08-02 01:00:00+00:00,980.0000000000001
2025-08-02 02:00:00+00:00,980.0000000000001
2025-08-02 03:00:00+00:00,980.0000000000001
2025-08-02 04:00:00+00:00,980.0000000000001
2025-08-02 05:00:00+00:00,980.0000000000001
2025-08-02 06:00:00+00:00,980.0000000000001
2025-08-02 07:00:00+00:00,980.0000000000001
2025-08-02 08:00:00+00:00,980.0000000000001
2025-08-02 09:00:00+00:00,980.0000000000001
2025-08-02 10:00:00+00:00,980.0000000000001
2025-08-02 11:00:00+00:00,980.0000000000001
2025-08-02 12:00:00+00:00,980.0000000000001
2025-08-02 13:00:00+00:00,980.0000000000001
2025-08-02 14:00:00+00:00,980.0000000000001
2025-08-02 15:00:00+00:00,980.0000000000001
